레시피구분,레시피명,열량,식재료명,식재료양
면류,들깨수제비국,열량 : 42.12 kcal,수제비,40g
면류,들깨수제비국,열량 : 42.12 kcal,감자,10g
면류,들깨수제비국,열량 : 42.12 kcal,표고버섯,6g
면류,들깨수제비국,열량 : 42.12 kcal,호박(애호박),5g
면류,들깨수제비국,열량 : 42.12 kcal,무(조선무),5g
면류,들깨수제비국,열량 : 42.12 kcal,파(대파),2g
면류,들깨수제비국,열량 : 42.12 kcal,간장(죽염국간장),1g
면류,들깨수제비국,열량 : 42.12 kcal,들깨가루,1g
면류,들깨수제비국,열량 : 42.12 kcal,다시마,1g
면류,들깨수제비국,열량 : 42.12 kcal,마늘,1g
국류,팽이버섯유부국,열량 : 97.62 kcal,유부,20g
국류,팽이버섯유부국,열량 : 97.62 kcal,무(조선무),20g
국류,팽이버섯유부국,열량 : 97.62 kcal,팽이버섯,15g
국류,팽이버섯유부국,열량 : 97.62 kcal,파(대파),2g
국류,팽이버섯유부국,열량 : 97.62 kcal,소금(천일염),0.03g
찜류,두부선,열량 : 103.81 kcal,두부,50g
찜류,두부선,열량 : 103.81 kcal,달걀,25g
찜류,두부선,열량 : 103.81 kcal,표고버섯,10g
찜류,두부선,열량 : 103.81 kcal,간장(양조간장),2g
찜류,두부선,열량 : 103.81 kcal,석이버섯,2g
찜류,두부선,열량 : 103.81 kcal,식초(사과식초),1g
찜류,두부선,열량 : 103.81 kcal,참기름,1g
찜류,두부선,열량 : 103.81 kcal,깨소금,0.5g
찜류,두부선,열량 : 103.81 kcal,소금(천일염),0.2g
찜류,두부선,열량 : 103.81 kcal,설탕(백설탕),0.2g
찜류,두부선,열량 : 103.81 kcal,후추(검은색),0.02g
국류,버섯들깨탕,열량 : 126.44 kcal,들깨가루,20g
국류,버섯들깨탕,열량 : 126.44 kcal,애느타리버섯,20g
국류,버섯들깨탕,열량 : 126.44 kcal,양파,20g
국류,버섯들깨탕,열량 : 126.44 kcal,큰느타리버섯(새송이버섯),15g
국류,버섯들깨탕,열량 : 126.44 kcal,팽이버섯,10g
국류,버섯들깨탕,열량 : 126.44 kcal,무(조선무),10g
국류,버섯들깨탕,열량 : 126.44 kcal,표고버섯,5g
국류,버섯들깨탕,열량 : 126.44 kcal,파(대파),3g
국류,버섯들깨탕,열량 : 126.44 kcal,간장(죽염국간장),2g
국류,버섯들깨탕,열량 : 126.44 kcal,소금(꽃소금),1g
국류,버섯들깨탕,열량 : 126.44 kcal,다시마,1g
국류,버섯들깨탕,열량 : 126.44 kcal,후춧가루(검은색),0.1g
튀김류,표고버섯탕수,열량 : 232.93 kcal,표고버섯,70g
튀김류,표고버섯탕수,열량 : 232.93 kcal,콩기름(대두유),10g
튀김류,표고버섯탕수,열량 : 232.93 kcal,전분(감자전분),5g
튀김류,표고버섯탕수,열량 : 232.93 kcal,소금(천일염),0.3g
튀김류,표고버섯탕수,열량 : 232.93 kcal,후추(검은색),0.02g
밥류,산채비빔밥,열량 : 508.65 kcal,멥쌀(구분도미),90g
밥류,산채비빔밥,열량 : 508.65 kcal,달걀,50g
밥류,산채비빔밥,열량 : 508.65 kcal,호박(애호박),20g
밥류,산채비빔밥,열량 : 508.65 kcal,취나물,20g
밥류,산채비빔밥,열량 : 508.65 kcal,표고버섯,10g
밥류,산채비빔밥,열량 : 508.65 kcal,고사리,10g
밥류,산채비빔밥,열량 : 508.65 kcal,도라지,10g
밥류,산채비빔밥,열량 : 508.65 kcal,당근,10g
밥류,산채비빔밥,열량 : 508.65 kcal,콩기름(대두유),1g
밥류,산채비빔밥,열량 : 508.65 kcal,참기름,1g
밥류,산채비빔밥,열량 : 508.65 kcal,설탕(백설탕),1g
밥류,산채비빔밥,열량 : 508.65 kcal,깨소금,1g
밥류,산채비빔밥,열량 : 508.65 kcal,간장(양조간장),0.5g
밥류,산채비빔밥,열량 : 508.65 kcal,소금(천일염),0.3g
국류,냉이된장국,열량 : 29.45 kcal,냉이,30g
국류,냉이된장국,열량 : 29.45 kcal,된장(전통된장),10g
국류,냉이된장국,열량 : 29.45 kcal,간장(죽염국간장),1g
국류,냉이된장국,열량 : 29.45 kcal,다시마,1g
국류,냉이된장국,열량 : 29.45 kcal,파(대파),1g
국류,냉이된장국,열량 : 29.45 kcal,마늘,1g
국류,우거지된장국,열량 : 188.28 kcal,배추(우거지),50g
국류,우거지된장국,열량 : 188.28 kcal,두부,25g
국류,우거지된장국,열량 : 188.28 kcal,무(조선무),20g
국류,우거지된장국,열량 : 188.28 kcal,된장,8g
국류,우거지된장국,열량 : 188.28 kcal,표고버섯,5g
국류,우거지된장국,열량 : 188.28 kcal,다시마,3g
국류,우거지된장국,열량 : 188.28 kcal,파(대파),1.7g
국류,우거지된장국,열량 : 188.28 kcal,고추(청양고추),1g
국류,우거지된장국,열량 : 188.28 kcal,양파,1g
국류,콩나물국,열량 : 32.75 kcal,콩나물,70g
국류,콩나물국,열량 : 32.75 kcal,파(대파),5g
국류,콩나물국,열량 : 32.75 kcal,마늘,5g
국류,콩나물국,열량 : 32.75 kcal,소금(고운소금),0.2g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,콩나물,80g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,멥쌀(백미),60g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,간장(양조간장),2g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,파(대파),2g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,참기름,1.5g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,고춧가루,1g
밥류,콩나물밥/양념장,열량 : 268.25 kcal,마늘,0.3g
무침류,저염배추겉절이,열량 : 19.9 kcal,배추,50g
무침류,저염배추겉절이,열량 : 19.9 kcal,무(조선무),10g
무침류,저염배추겉절이,열량 : 19.9 kcal,고추(붉은고추(홍고추)),2g
무침류,저염배추겉절이,열량 : 19.9 kcal,고춧가루,1g
무침류,저염배추겉절이,열량 : 19.9 kcal,매실청,1g
무침류,저염배추겉절이,열량 : 19.9 kcal,파(쪽파),1g
무침류,저염배추겉절이,열량 : 19.9 kcal,마늘,1g
무침류,저염배추겉절이,열량 : 19.9 kcal,젓(멸치액젓),0.7g
무침류,저염배추겉절이,열량 : 19.9 kcal,깨(참깨),0.3g
무침류,마늘장아찌,열량 : 39.55 kcal,장아찌(마늘장아찌),35g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,멥쌀(백미),50g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,한우(안심),10g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,고사리,10g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,양파,5g
밥류,소고기고사리볶음밥,열량 : 239.62 kcal,당근,5g
