식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
"갈치류_갈치_수컷,육_생것_대표_4월",125,19.46,4.54,0.0
"갈치류_갈치_수컷,육_생것_대표_5월",136,19.13,5.88,0.0
"갈치류_갈치_수컷,육_생것_대표_6월",140,18.73,6.32,0.29
"갈치류_갈치_수컷,육_생것_대표_7월",132,17.88,5.64,0.78
"갈치류_갈치_수컷,육_생것_대표_8월",138,18.44,6.41,0.0
"갈치류_갈치_수컷,육_생것_대표_9월",107,19.48,2.69,0.0
"갈치류_갈치_암컷,육_생것_대표_10월",104,18.73,2.7,0.0
"갈치류_갈치_암컷,육_생것_대표_11월",136,19.4,5.81,0.0
"갈치류_갈치_암컷,육_생것_대표_12월",122,19.27,4.28,0.0
"갈치류_갈치_암컷,육_생것_대표_2월",144,19.96,6.35,0.0
"갈치류_갈치_암컷,육_생것_대표_3월",128,17.56,5.26,0.97
"갈치류_갈치_암컷,육_생것_대표_4월",127,19.46,4.81,0.0
"갈치류_갈치_암컷,육_생것_대표_5월",130,18.94,5.28,0.0
"갈치류_갈치_암컷,육_생것_대표_6월",112,18.48,3.59,0.0
"갈치류_갈치_암컷,육_생것_대표_7월",119,19.31,3.94,0.0
"갈치류_갈치_암컷,육_생것_대표_8월",120,18.06,4.24,1.02
"갈치류_갈치_암컷,육_생것_대표_9월",128,19.33,4.92,0.0
갈치류_갈치_육_생것_대표_10월,127,17.88,5.25,0.51
갈치류_갈치_육_생것_대표_11월,126,17.09,5.68,0.0
갈치류_갈치_육_생것_대표_12월,129,18.5,5.38,0.0
갈치류_갈치_육_생것_대표_1월,146,18.96,6.96,0.0
갈치류_갈치_육_생것_대표_2월,148,18.5,7.4,0.16
갈치류_갈치_육_생것_대표_3월,158,19.19,8.19,0.0
갈치류_갈치_육_생것_대표_4월,107,20.21,2.28,0.0
갈치류_갈치_육_생것_대표_5월,155,6.76,8.11,12.11
갈치류_갈치_육_생것_대표_7월,110,18.94,3.22,0.0
갈치류_갈치_육_생것_대표_8월,156,18.41,8.31,0.0
갈치류_갈치_육_생것_대표_9월,103,18.09,2.76,0.23
갈치류_갈치_육_생것_인천_평균,149,18.5,7.5,0.1
갈치류_갈치_육_약하게 소금에 절인것_대표_평균,188,26.3,8.1,0.1
갈치류_갈치_육_젓갈_수입_6월,176,8.6,3.2,28.2
갈치류_독가시치_육_생것_부산_7월,97,20.3,1.2,0.0
갈치류_동동갈치_육_생것_부산_5월,121,20.0,3.9,0.0
갈치류_등가시치_육_생것_대표_4월,105,18.63,2.62,0.55
갈치류_등가시치_육_생것_대표_평균,88,18.5,0.1,
갈치류_등가시치_육_생것_부산_5월,79,18.46,0.1,0.04
갈치류_먹갈치_육_생것_대표_5월,87,17.23,1.49,0.16
갈치류_먹갈치_육_생것_대표_8월,99,20.48,1.38,0.0
갈치류_청자갈치_육_생것_대표_8월,76,13.19,2.17,0.0
갈치류_청자갈치_육_생것_영덕_5월,71,13.6,1.4,0.1
갈치류_칠성갈치_육_생것_영덕_5월,92,16.8,2.2,0.1
감펭류_쑥감펭_육_생것_부산_6월,83,19.0,0.3,0.0
감펭류_점감펭_육_생것_부산_6월,90,19.4,0.7,0.3
감펭류_홍감펭_육_생것_대표_평균,120,16.7,3.9,0.2
감펭류_홍감펭_육_생것_부산_5월,108,16.73,3.9,0.17
감펭류_홍감펭_육_생것_여수_4월,160,18.92,8.55,0.0
갑오징어류_갑오징어_육_말린것_대표_평균,339,66.8,4.7,3.2
갑오징어류_갑오징어_육_생것_부산_6월,75,15.1,1.2,0.1
갑오징어류_쇠갑오징어_육_생것_대표_평균,88,16.9,0.7,0.2
갑오징어류_쇠갑오징어_육_생것_부산_5월,79,16.87,0.7,0.23
갑오징어류_참갑오징어_육_생것_대표_평균,84,17.3,0.2,0.2
갑오징어류_참갑오징어_육_생것_여수_6월,76,17.27,0.2,0.23
강달이류_눈강달이_육_생것_대표_4월,110,14.9,4.99,0.0
강달이류_눈강달이_육_생것_인천_평균,109,17.0,3.9,0.1
강달이류_눈강달이_육_젓갈_대표_평균,102,14.0,5.1,0.0
강달이류_눈강달이_육_젓갈_신안_6월,88,12.0,3.8,0.4
강준치_육_생것_부산_10월,90,18.7,1.1,0.2
개량조개_육_말린것_대표_평균,276,54.2,2.0,7.0
개량조개_육_생것_군산_5월,62,12.0,0.7,1.1
개불류_개불_육_생것_부산_5월,53,10.5,0.2,1.6
개조개_육_생것_부산_5월,64,10.9,0.6,3.04
개조개_육_생것_부산_6월,105,14.16,1.52,7.52
갯가재류_갯가재_내장_생것_대표_평균,89,15.96,2.01,0.75
갯가재류_갯가재_육_삶은것_대표_평균,99,19.2,1.7,0.2
갯가재류_갯가재_육_생것_대표_평균,105,7.52,2.1,13.13
갯가재류_갯가재_육_생것_부산_4월,87,16.1,1.7,0.8
갯강구_육_생것_대표_평균,295,45.95,4.2,15.44
게류_금강참게_육_생것_광양_평균,167,16.81,9.6,1.48
