식품명,식재료코드
귤(청견)/GAP,1030180004
귤(타이백),1030190001
귤(한라봉),1030200001
귤(한라봉)/일반,1030200002
귤(한라봉)/친환경,1030200003
귤(한라봉)/GAP,1030200004
귤(황금향),1030210001
귤(황금향)/일반,1030210002
귤(황금향)/친환경,1030210003
귤(황금향)/GAP,1030210004
대추야자,1030220001
대추야자/말린것(건조),1030220002
두리안,1030230001
딸기,1030240001
딸기/외국산,1030240002
딸기/일반,1030240003
딸기/친환경,1030240004
딸기/GAP,1030240005
딸기/냉동,1030240006
딸기(산딸기),1030250001
딸기(설향),1030260001
딸기(설향)/일반,1030260002
딸기(설향)/친환경,1030260003
딸기(설향)/GAP,1030260004
딸기(육보),1030270001
딸기(육보)/일반,1030270002
딸기(육보)/친환경,1030270003
딸기(육보)/GAP,1030270004
딸기(장희),1030280001
딸기(장희)/일반,1030280002
딸기(장희)/친환경,1030280003
딸기(장희)/GAP,1030280004
라임,1030290001
람부탄,1030300001
"람부탄/껍질제거(깐것), 씨제거",1030300002
레몬,1030310001
레몬/일반,1030310002
레몬/친환경,1030310003
레몬/GAP,1030310004
리치,1030320001
"리치/껍질제거(깐것), 씨제거",1030320002
리치/냉동,1030320003
망고,1030330001
"망고/껍질제거(깐것), 조각낸것",1030330002
"망고/껍질제거(깐것), 슬라이스",1030330003
망고/비가식부위제거,1030330004
망고/조각낸것,1030330005
망고/소포장,1030330006
망고/냉동,1030330007
망고(애플망고),1030340001
망고스틴,1030350001
"망고스틴/껍질제거(깐것), 씨제거",1030350002
망고스틴/냉동,1030350003
매실,1030360001
매실/일반,1030360002
매실/친환경,1030360003
매실/GAP,1030360004
매실/김치제조용,1030360005
멜론(골든듀멜론),1030370001
멜론(레드멜론),1030380001
멜론(머스크멜론),1030390001
멜론(머스크멜론)/일반,1030390002
멜론(머스크멜론)/친환경,1030390003
멜론(머스크멜론)/GAP,1030390004
"멜론(머스크멜론)/껍질제거(깐것), 슬라이스",1030390005
멜론(머스크멜론)/비가식부위제거,1030390006
멜론(머스크멜론)/절단된것,1030390007
멜론(머스크멜론)/조각낸것,1030390008
멜론(백자멜론),1030400001
멜론(백자멜론)/일반,1030400002
멜론(백자멜론)/친환경,1030400003
멜론(백자멜론)/GAP,1030400004
멜론(얼스멜론),1030410001
멜론(얼스멜론)/일반,1030410002
멜론(얼스멜론)/친환경,1030410003
멜론(얼스멜론)/GAP,1030410004
멜론(파파야멜론),1030420001
멜론(파파야멜론)/일반,1030420002
멜론(파파야멜론)/친환경,1030420003
멜론(파파야멜론)/GAP,1030420004
멜론(허니듀멜론),1030430001
모과,1030440001
무화과,1030450001
무화과/일반,1030450002
무화과/친환경,1030450003
무화과/GAP,1030450004
무화과/말린것(건조),1030450005
바나나,1030460001
바나나/일반,1030460002
바나나/친환경,1030460003
바나나/GAP,1030460004
바나나/말린것(건조),1030460005
바나나(몽키바나나),1030470001
바나나(몽키바나나)/일반,1030470002
바나나(몽키바나나)/친환경,1030470003
바나나(몽키바나나)/GAP,1030470004
배,1030480001
배/국산,1030480002
배/외국산,1030480003
배/일반,1030480004
배/친환경,1030480005
배/GAP,1030480006
배/김치제조용,1030480007
배(신고),1030490001
배(신고)/일반,1030490002
배(신고)/친환경,1030490003
배(신고)/GAP,1030490004
배(신고)/김치제조용,1030490005
백향과(패션후르츠),1030500001
백향과(패션후르츠)/냉동,1030500002
버찌,1030510001
버찌/국산,1030510002
버찌/외국산,1030510003
버찌/일반,1030510004
버찌/친환경,1030510005
버찌/GAP,1030510006
복숭아,1030520001
복숭아/일반,1030520002
복숭아/친환경,1030520003
복숭아/GAP,1030520004
복숭아(백도),1030530001
복숭아(백도)/일반,1030530002
복숭아(백도)/친환경,1030530003
복숭아(백도)/GAP,1030530004
복숭아(천도),1030540001
복숭아(천도)/일반,1030540002
복숭아(천도)/친환경,1030540003
복숭아(천도)/GAP,1030540004
복숭아(황도),1030550001
복숭아(황도)/일반,1030550002
복숭아(황도)/친환경,1030550003
복숭아(황도)/GAP,1030550004
블루베리,1030560001
블루베리/국산,1030560002
블루베리/외국산,1030560003
블루베리/일반,1030560004
블루베리/친환경,1030560005
블루베리/GAP,1030560006
