식재료명,에너지(kcal),단백질(g),지방(g),탄수화물(g)
감자_대지_찐것,80,2.11,0.09,18.17
감자_대지_구운것,90,2.43,0.09,20.5
감자_수미_생것,70,1.93,0.03,16.07
감자_수미_삶은것,76,1.99,0.04,17.43
감자_수미_찐것,75,1.94,0.05,17.28
감자_수미_구운것,85,2.3,0.08,19.38
감자_자색_생것,82,2.8,,18.5
감자_자색_찐것,85,2.3,,19.5
감자_자심_생것,64,1.8,0.0,14.7
감자_보라밸리_생것,60,1.45,0.02,13.79
감자_보라밸리_삶은것,69,1.39,0.05,15.97
감자_로즈밸리_생것,68,2.25,0.03,15.18
감자_로즈밸리_삶은것,79,2.34,0.09,17.87
으깬감자,83,1.91,0.57,17.57
고구마_생것,147,1.09,0.15,35.52
고구마_말린것,312,2.3,0.1,75.7
고구마_찐것,163,1.08,0.15,39.41
고구마_구운것,188,1.13,0.16,45.48
고구마_신율미_껍질제거_생것,164,1.0,0.61,38.84
고구마_신자미_생것,107,1.3,0.1,25.5
고구마_연황미_생것,127,1.1,0.0,30.7
고구마_주황미_생것,105,1.0,0.1,25.1
고구마_진홍미_생것,140,1.2,,33.8
고구마_분질(밤) 고구마_생것,154,1.01,0.11,37.22
고구마_분질(밤) 고구마_찐것,169,1.07,0.15,40.9
고구마_분질(밤) 고구마_구운것,189,1.01,0.16,45.94
고구마_점질(호박) 고구마_생것,141,1.17,0.2,33.81
고구마_점질(호박) 고구마_찐것,157,1.1,0.15,37.91
고구마_점질(호박) 고구마_구운것,186,1.25,0.16,45.02
고구마_베니하루까_껍질제거_생것,147,1.03,0.45,34.91
당면_고구마_말린것,358,0.08,0.07,88.75
당면_고구마_삶은것,123,0.03,0.04,30.38
당면_고구마+감자_말린것,346,0.0,0.2,86.6
곤약(구약나물)_분말화한것,194,3.0,0.1,85.3
곤약(구약나물)_판형_생것,6,0.12,0.01,3.06
돼지감자_생것,35,2.18,0.09,14.92
돼지감자_말린것,172,10.43,0.46,74.35
돼지감자_삶은것,39,2.23,0.11,17.16
마_단마_생것,63,1.84,0.12,14.05
마_장마_생것,45,1.56,0.28,9.55
마_장마_삶은것,49,1.47,0.25,10.51
마_둥근마_생것,152,3.56,0.98,33.24
아피오스감자_생것,175,6.1,0.5,38.2
전분_감자_분말화한것,334,0.07,0.02,82.7
전분_고구마_분말화한것,346,0.0,0.05,85.85
전분_밀_분말화한것,360,0.2,0.5,86.0
전분_쌀_분말화한것,375,0.2,0.7,89.3
전분_옥수수_분말화한것,366,0.19,0.56,89.6
전분_옥수수+밀_분말화한것,379,0.3,0.0,93.8
전분_칡뿌리_분말화한것,356,0.2,0.2,85.6
천마_생것,77,0.9,0.0,18.5
천마_찐것,81,1.1,0.0,19.3
칡뿌리_생것,137,2.48,0.1,32.05
토란_생것,71,2.08,0.14,15.77
토란_삶은것,73,2.17,0.18,16.28
토란_찐것,76,2.4,0.17,16.75
야콘_뿌리_생것,52,0.6,0.3,12.4
야콘_뿌리_삶은것,42,0.6,0.3,9.9
칡즙,21,0.44,0.0,4.91
히카마(얌빈)_생것,44,0.68,0.06,10.36
히카마(얌빈)_삶은것,45,0.39,0.06,10.66
고구마말랭이_말린것,277,3.62,0.34,65.58
곤약(구약나물)_국수형_데친것,7,0.01,0.01,3.58
곤약(구약나물)_국수형_생것,7,0.08,0.01,3.18
꿀,317,0.28,0.01,85.83
꿀_밤,314,0.45,0.02,84.95
꿀_아카시아,319,0.12,0.0,86.48
꿀_잡화,318,0.26,0.02,86.07
꿀_토종,313,0.38,0.02,84.73
당밀_가공당,274,0.2,0.0,68.2
설탕_분말화한것,389,0.0,0.0,99.77
설탕_각설탕,387,0.0,0.0,99.95
설탕_백설탕,386,0.0,0.0,99.8
설탕_빙설탕,394,0.1,0.0,99.8
설탕_황설탕,386,0.03,0.01,99.66
설탕_흑설탕,380,0.12,0.02,97.97
포도당,342,0.0,0.0,91.0
강낭콩_생것,174,8.8,0.86,32.35
강낭콩_말린것,348,21.01,1.41,61.89
강낭콩_삶은것,171,8.46,0.9,31.92
녹두_말린것,352,24.51,1.52,60.15
녹두_삶은것,158,11.29,0.67,26.66
녹두 국수_말린것,344,0.2,0.4,87.5
녹두묵,40,0.12,0.03,9.81
동부_생것,166,9.51,1.02,29.34
동부_말린것,343,19.61,2.1,60.56
동부_삶은것,138,8.11,0.77,24.46
동부_수입산(미얀마산)_말린것,345,22.08,2.07,59.43
동부_수입산(미얀마산)_삶은것,155,10.02,1.12,26.28
라이마빈스_말린것,306,21.9,1.8,60.8
라이마빈스_삶은것,122,9.6,0.9,26.0
완두_생것,115,7.92,0.44,19.51
완두_말린것,354,25.37,2.61,56.65
완두_삶은것,123,7.27,1.1,20.78
작두(도두)_생것,125,9.0,0.3,21.5
작두(도두)_말린것,344,26.3,1.0,57.4
잠두_생것,341,26.12,1.53,58.29
잠두_삶은것,110,7.6,0.4,19.65
쥐눈이콩(검정소립콩)_말린것,403,37.32,14.61,30.59
쥐눈이콩(검정소립콩)_삶은것,184,17.99,6.79,12.71
쥐눈이콩(검정소립콩)_볶은것,447,42.31,16.71,31.73
콩(대두)_갈색콩(밤콩)_말린것,410,35.0,17.2,30.6
콩(대두)_노란콩_말린것,409,36.21,14.71,32.99
콩(대두)_노란콩_삶은것,201,17.82,9.5,12.02
콩(대두)_노란콩_볶은것,444,40.47,17.21,33.57
콩(대두)_노란콩_가루를 볶은것,430,38.5,21.36,30.81
콩(대두)_대풍_말린것,405,34.36,13.83,36.94
