레시피구분,레시피명,열량
무침류,느타리청경채부추들깨무침,열량 : 37.99 kcal
면류,미니잔치국수,열량 : 208.01 kcal
무침류,꼬막양념무침,열량 : 57.06 kcal
찜류,애호박찜/양념장,열량 : 24.54 kcal
밥류,토마토달걀볶음밥,열량 : 252.82 kcal
국류,배추된장국,열량 : 23.48 kcal
빵류,구운식빵,열량 : 27.9 kcal
무침류,게살콩나물무침,열량 : 30.89 kcal
밥류,베이컨로제리조또,열량 : 334.83 kcal
국류,두부들?국,열량 : 40.46 kcal
국류,두부들깨국,열량 : 40.46 kcal
찜류,무지개달걀찜,열량 : 101.81 kcal
면류,베이컨로제파스타,열량 : 256.06 kcal
국류,모듬버섯국,열량 : 15.68 kcal
부침류,해물완자전,열량 : 102.03 kcal
부침류,완자전,열량 : 79.05 kcal
밥류,나물비빔밥,열량 : 250.99 kcal
볶음류,훈제오리피망볶음,열량 : 105.15 kcal
볶음류,잘게자른주꾸미볶음,열량 : 110.68 kcal
보조식,미니가래떡,열량 : 180.64 kcal
보조식,가래떡구이,열량 : 88.37 kcal
밥류,치킨데리야끼덮밥,열량 : 317.91 kcal
무침류,모듬샐러드,열량 : 92.2 kcal
조림류,돼지고기꽈리장조림,열량 : 116.36 kcal
기타,조각배 1/6,열량 : 27.6 kcal
볶음류,어린이훈제오리야채볶음,열량 : 54.69 kcal
조림류,가자미살무조림,열량 : 115.59 kcal
면류,새우크림스파게티,열량 : 199.4 kcal
국류,콩가루배춧국,열량 : 14.93 kcal
볶음류,오리불고기,열량 : 125.65 kcal
밥류,하이라이스,열량 : 280.69 kcal
찜류,치즈달걀찜,열량 : 71.75 kcal
밥류,훈제오리양파덮밥,열량 : 325.12 kcal
무침류,게살숙주나물,열량 : 19.77 kcal
무침류,게살당근무침,열량 : 30.97 kcal
국류,닭백숙,열량 : 73.13 kcal
밥류,닭살짜장밥,열량 : 293.08 kcal
무침류,게살샐러드,열량 : 63.78 kcal
볶음류,게살브로콜리볶음,열량 : 38.77 kcal
무침류,게살콘샐러드,열량 : 72.18 kcal
밥류,닭살채소볶음밥,열량 : 294.31 kcal
볶음류,닭살부추볶음,열량 : 71.09 kcal
국류,달래두부된장국,열량 : 31.45 kcal
밥류,안매운김치치즈볶음밥,열량 : 229.05 kcal
국류,무순된장국,열량 : 23.63 kcal
볶음류,브로콜리달걀볶음,열량 : 50.98 kcal
조림류,돼지고기장조림,열량 : 87.89 kcal
튀김류,새송이버섯탕수/소스,열량 : 97.41 kcal
조림류,완자조림,열량 : 101.68 kcal
조림류,삼치데리야끼조림,열량 : 116.01 kcal
조림류,어린이돼지고기장조림,열량 : 97.99 kcal
보조식,우유,열량 : 130 kcal
찜류,목살김치찜,열량 : 126.44 kcal
국류,버섯장국,열량 : 23.99 kcal
무침류,토마토치커리무침,열량 : 11.34 kcal
부침류,맛살채소전,열량 : 102.56 kcal
국류,두부젓국,열량 : 37.06 kcal
밥류,안매운김치볶음밥,열량 : 248.15 kcal
국류,한우갈비탕,열량 : 77.64 kcal
튀김류,수제탕수육/과일소스,열량 : 144.27 kcal
국류,돼지고기김치찌개,열량 : 249.77 kcal
무침류,시금치무침,열량 : 79.13 kcal
구이류,굴비구이(설날),열량 : 145.7 kcal
국류,떡만두국(설날),열량 : 199.98 kcal
구이류,소고기산적(설날),열량 : 105.9 kcal
기타,"부럼(땅콩,호두)-대보름",열량 : 120.8 kcal
무침류,닭가슴살달걀샐러드,열량 : 97.5 kcal
국류,가자미미역국,열량 : 87.36 kcal
보조식,수리취떡(단오),열량 : 64 kcal
부침류,새송이전(단오),열량 : 74.37 kcal
국류,쑥애탕국(단오),열량 : 138.48 kcal
국류,연포탕(무오일),열량 : 134.2 kcal
국류,버섯맑은찌개,열량 : 54.76 kcal
볶음류,잔멸치볶음,열량 : 89.14 kcal
조림류,조기양념조림,열량 : 133.04 kcal
밥류,버섯영양밥/양념장,열량 : 232.94 kcal
부침류,밀전병(유두절),열량 : 168 kcal
밥류,잡곡밥(소)-유두절,열량 : 400.6 kcal
