,레시피구분,레시피명,열량
549,국류,돈등뼈김치찜,309.43
550,보조식,구아바주스,100.0
551,보조식,골드키위주스,153.0
552,구이류,감자구이,55.81
553,죽류,소고기브로컬리죽,513.58
554,면류,베이컨크림스파게티,471.97
555,국류,달걀부추국,75.9
556,구이류,닭가슴살고추장스테이크,165.68
557,국류,낙지연포탕,32.92
558,튀김류,코다리떡강정,225.44
559,면류,수제비들깨국,50.12
560,볶음류,닭안심가지볶음,219.68
561,조림류,소고기메추리알조림,93.16
562,볶음류,머위대들깨볶음,63.55
563,국류,게살연두부탕,46.62
564,면류,바지락칼국수,144.39
565,볶음류,파프리카버섯볶음,18.94
566,국류,바지락살미역국,16.28
567,볶음류,오징어굴소스볶음,49.19
568,밥류,치킨마요덮밥,277.14
569,튀김류,수제탕수육/소스,93.92
570,밥류,중국식볶음밥,213.84
571,면류,미트볼스파게티,210.58
572,볶음류,시금치베이컨볶음,78.8
573,구이류,어린이삼치구이,98.25
574,국류,어린이유부국,38.16
575,부침류,채소달걀말이,53.54
576,밥류,깐풍돼지고기덮밥,281.59
577,무침류,양상추샐러드/딸기드레싱,21.88
578,무침류,숙주나물무침,7.33
579,볶음류,돼지고기사과간장소스불고기,137.57
580,구이류,순살고등어카레구이,118.89
581,밥류,햄채소볶음밥,240.38
582,튀김류,새우볼타코야끼,100.4
583,구이류,임연수살구이,98.05
584,무침류,어린이상추무침,50.39
585,국류,애호박된장국,25.41
586,볶음류,주꾸미채소볶음,63.13
587,볶음류,간장콩나물불고기,87.11
588,조림류,잔멸치호두조림,100.72
589,국류,소고기샤브국,23.56
590,국류,한우설렁탕,62.34
591,무침류,도라지유자청무침,20.98
592,국류,북어국,18.75
593,무침류,흑임자연근샐러드,26.3
594,면류,손수제비,51.55
595,볶음류,팔보채,160.65
596,무침류,청포묵양념장무침,48.0
597,볶음류,어린이돼지고기간장불고기,102.06
598,볶음류,돼지고기채소볶음,74.46
599,밥류,간장게맛살볶음밥/계란후라이,222.38
600,볶음류,닭가슴살표고버섯볶음,39.79
601,국류,시금치조갯살된장국,53.26
602,볶음류,돼지고기콩나물볶음,203.13
603,죽류,오리백숙,449.85
604,볶음류,닭가슴살버섯야채볶음,105.45
605,보조식,어린이사과주스,33.6
606,부침류,호박해물파전(소),178.13
607,보조식,수박화채,34.36
608,국류,닭곰탕,44.96
609,구이류,통마늘삼겹살떡구이,245.22
610,국류,팽이미소된장국,41.96
611,국류,배추당면국,16.71
612,무침류,꽃맛살메추리알과일샐러드,178.95
613,조림류,밤곤약조림,117.04
614,찜류,명란달걀찜,38.52
615,국류,바지락순두부김치국,30.54
616,튀김류,치킨가라아케,90.41
617,밥류,팟시금치무쌉,396.29
618,국류,북어콩나물국,26.16
619,튀김류,순살치킨,117.04
620,구이류,닭다리훈제오븐구이,193.5
621,밥류,날치알계란볶음밥,230.81
622,볶음류,토마토가지두반장볶음,262.88
623,찜류,돼지고기보쌈,120.04
624,면류,애호박닭칼국수,246.61
625,무침류,쫄면채소무침,103.28
626,조림류,시래기된장멸치지짐,74.69
627,조림류,어묵채소조림,99.89
628,구이류,콘치즈구이,120.15
629,국류,대구탕,93.88
630,무침류,쟁반메밀국수,253.22
631,밥류,잡곡밥(소),274.7
632,국류,떡만두국,289.02
633,부침류,팽이달걀말이,125.06
634,밥류,귀리수수밥,406.98
635,튀김류,파인애플탕수육,213.35
636,볶음류,쑥갓베이컨볶음,98.82
637,밥류,잡곡밥(보리),360.6
638,국류,한우알토란탕,113.79
639,볶음류,참치고추볶음,102.27
640,조림류,소고기우엉조림,111.64
641,찜류,소갈비찜,254.56
642,밥류,기장밥,193.56
643,국류,미역국,21.88
644,튀김류,탕수육,228.3
645,국류,들깨닭수제비국,56.42
646,국류,곰탕&amp;다대기양념,227.79
647,무침류,어린이배추나물,35.21
648,조림류,닭가슴살데리야끼조림,98.4
649,볶음류,콩소시지볶음,209.14
650,밥류,달걀볶음밥,294.37
651,구이류,버섯찹스테이크&amp;데리야끼소스,210.78
652,밥류,명란아보카도비빔밥,546.69
653,보조식,인절미,92.4
654,구이류,닭고기데리야끼구이,298.44
655,밥류,소라톳밥&amp;부추양념장,286.25
656,밥류,잡곡밥(차수수),358.78
657,구이류,레몬가자미구이,324.4
658,보조식,모짜렐라치즈샐러드,127.8
659,국류,브로콜리수프(완),69.2
660,구이류,햄버거스테이크(완),244.25
661,면류,로제파스타(소),124.54
662,국류,꽃게탕,26.99
663,밥류,카레라이스,282.0
664,찜류,송편(완),94.19
665,무침류,어린이과일샐러드,60.95
666,튀김류,적어튀김,96.79
667,보조식,떡(인절미떡),92.4
668,찜류,찜닭,292.42
669,볶음류,비건소시지볶음,322.2
