나이,성별,신장,체중,활동량계수,BMR,에너지 섭취량(Kcal),일일 칼로리 잉여/적자
70.0,2.0,148.1,53.5,1.0,1446.2659999999998,1415.8836746784823,-30.382325321517555
80.0,1.0,156.5,62.7,1.0,1741.6309999999999,1431.9654796645686,-309.6655203354312
26.0,2.0,159.9,47.6,1.15,2021.7115,1834.7374373746973,-186.97406262530262
29.0,1.0,172.1,69.5,1.15,2725.18609,2740.378567028434,15.192477028434041
58.0,1.0,174.1,57.4,1.0,1961.9376,1617.5141059645944,-344.4234940354056
68.0,1.0,164.2,53.5,1.0,1751.1682,1783.8397582530276,32.67155825302757
41.0,2.0,159.7,59.3,1.15,2042.3304999999996,1444.6839775467613,-597.6465224532383
55.0,2.0,159.0,60.6,1.15,1953.7394,1399.6510507246371,-554.0883492753628
21.0,2.0,163.7,51.8,1.15,2133.1964999999996,2115.6483490576798,-17.548150942319808
39.0,2.0,157.6,55.3,1.15,1995.5615999999998,1882.767174291989,-112.79442570801075
73.0,1.0,170.1,74.5,1.0,2069.4646,1425.1745242498837,-644.2900757501161
48.0,2.0,158.1,55.8,1.15,1942.9280999999994,1331.1882299012743,-611.7398700987251
58.0,1.0,178.8,73.4,1.0,2241.8588,1901.631898562117,-340.22690143788304
53.0,2.0,154.3,57.2,1.0,1643.38,1237.4615764369007,-405.9184235630994
51.0,2.0,160.1,54.2,1.0,1671.2279999999998,1585.412389599038,-85.81561040096176
80.0,2.0,146.2,47.9,1.0,1310.956,1254.189459290787,-56.766540709212904
79.0,1.0,168.7,53.0,1.0,1662.6652,1502.5133480771774,-160.15185192282252
75.0,2.0,150.8,55.9,1.0,1453.782,1193.7877625668868,-259.9942374331131
50.0,1.0,169.5,72.2,1.46,3197.95304,2651.9613073984333,-545.9917326015666
67.0,2.0,150.1,52.5,1.0,1472.1559999999997,1104.9143470222182,-367.24165297778154
32.0,1.0,178.8,69.1,1.15,2730.8536699999995,2777.8945083002004,47.0408383002009
45.0,2.0,148.9,51.6,1.0,1607.0399999999997,1568.955698455893,-38.084301544106665
42.0,2.0,154.4,48.8,1.0,1641.492,1457.8400415122933,-183.65195848770668
72.0,1.0,158.1,57.3,1.15,2005.3031899999996,2070.27936237096,64.97617237096028
58.0,2.0,158.4,57.8,1.0,1644.2119999999998,1416.114773111538,-228.09722688846182
35.0,1.0,176.9,67.4,1.0,2355.3364,1698.6251987998892,-656.711201200111
29.0,2.0,164.3,80.4,1.0,2098.972,2120.59390026483,21.621900264829947
68.0,2.0,158.8,57.1,1.15,1824.5656,1434.7069330266402,-389.85866697335973
28.0,2.0,160.7,50.8,1.46,2558.0881999999992,2310.193722795725,-247.89447720427415
71.0,2.0,154.8,60.3,1.15,1804.8843999999995,1777.275559072013,-27.60884092798642
64.0,1.0,173.0,78.3,1.0,2231.341,1508.9824512597895,-722.3585487402104
60.0,2.0,152.1,74.0,1.0,1736.286,1208.4453446403882,-527.8406553596119
66.0,1.0,168.9,76.7,1.46,3145.274844,2416.728304487048,-728.5465395129522
63.0,2.0,157.0,48.5,1.0,1512.45,1355.0159168460832,-157.43408315391684
51.0,1.0,172.9,64.8,1.0,2139.9064,1789.366971655239,-350.53942834476084
49.0,2.0,162.3,61.0,1.0,1764.6679999999997,1197.892988378498,-566.7750116215016
58.0,1.0,162.3,56.5,1.15,2150.1486699999996,1889.5852897664183,-260.56338023358126
72.0,2.0,146.5,49.9,1.0,1387.134,1216.7996654897725,-170.33433451022756
66.0,1.0,165.6,73.2,1.0,2091.2096,1468.0719054127292,-623.137694587271
65.0,2.0,148.4,54.0,1.0,1487.674,1333.736878211178,-153.93712178882197
80.0,2.0,148.3,48.7,1.0,1333.6900000000003,1363.6086199760452,29.918619976044965
66.0,2.0,163.1,60.3,1.0,1646.454,1654.243259807083,7.789259807082999
43.0,2.0,166.0,54.5,1.0,1772.1499999999996,1801.8551529774795,29.705152977479884
42.0,1.0,175.1,78.7,1.0,2458.6966,1734.3822923186162,-724.314307681384
39.0,2.0,164.4,51.3,1.15,2009.2787999999998,1633.5389925151908,-375.73980748480903
40.0,2.0,156.3,57.6,1.0,1751.4740000000002,1160.2289410056214,-591.2450589943787
40.0,1.0,177.8,65.9,1.15,2589.8594700000003,1983.241709233637,-606.6177607663633
67.0,2.0,156.0,51.7,1.0,1507.502,1363.3761864967269,-144.1258135032731
62.0,2.0,158.0,98.6,1.0,1995.5559999999996,1360.9160883561003,-634.6399116438993
43.0,1.0,179.5,73.7,1.0,2393.359,1698.0308232481411,-695.3281767518588
33.0,2.0,154.0,54.0,1.0,1749.45,1186.619274614005,-562.830725385995
42.0,1.0,169.8,64.6,1.0,2205.7668,1598.7229731031905,-607.0438268968094
